"dcterms:type","dcterms:subject","dcterms:description","dcterms:date","dwc:taxonID","dwc:scientificName","dwc:scientificNameAuthorship","ala:nameComplete","dwc:nomenclaturalCode","dwc:taxonRank","dwc:taxonomicStatus","dwc:associatedTaxa","dwc:datasetID","ala:value"
"NOTE","name.UnrankedScientificName.principal","Principal for unranked scientific name UN[BC, 40CM-2-53-6 = [BC:40CM-2-53-6:genus] = GTDB_ar122_taxonomy_r95:GTDB:fc873175d73c6bcf8236afae2120b354] is SN[BC, 40CM-2-53-6, genus = [BC:40CM-2-53-6:genus] = GTDB_ar122_taxonomy_r95:GTDB:fc873175d73c6bcf8236afae2120b354]","2020-11-16T18:19:20.073+01:00","GTDB:fc873175d73c6bcf8236afae2120b354","40CM-2-53-6","","40CM-2-53-6","BC","unranked","accepted","GTDB:fc873175d73c6bcf8236afae2120b354","GTDB_ar122_taxonomy_r95",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOBACTERIALES = [BC:HALOBACTERIALES:unranked] = GTDB_ar122_taxonomy_r95:GTDB:8626978989306ab5cc719a7a09acc9e7] is UN[BC, HALOBACTERIALES = [BC:HALOBACTERIALES:order] = GTDB_ar122_taxonomy_r95:GTDB:8626978989306ab5cc719a7a09acc9e7]","2020-11-16T18:19:20.081+01:00","GTDB:8626978989306ab5cc719a7a09acc9e7","HALOBACTERIALES","","HALOBACTERIALES","BC","unranked","accepted","GTDB:8626978989306ab5cc719a7a09acc9e7","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS SACHAROLITICA, ""Montero et al., 1990"", SPECIES = 7ddf754f-d193-4cc9-b351-99906754a03b:4983778] has no principals, using all instances","2020-11-16T18:19:20.009+01:00","4983778","HALOCOCCUS SACHAROLITICA","""Montero et al., 1990""","HALOCOCCUS SACHAROLITICA ""Montero et al., 1990""","","species","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS QINGDAONENSIS, ""Wang et al., 2007"", SPECIES = 7ddf754f-d193-4cc9-b351-99906754a03b:5900908] has no principals, using all instances","2020-11-16T18:19:19.934+01:00","5900908","HALOCOCCUS QINGDAONENSIS","""Wang et al., 2007""","HALOCOCCUS QINGDAONENSIS ""Wang et al., 2007""","","species","accepted","","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SACHAROLITICA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:1b91f1097cdcc2209b7bf58c687df257] has no principals, using all instances","2020-11-16T18:19:20.001+01:00","GTDB:1b91f1097cdcc2209b7bf58c687df257","HALOCOCCUS SACHAROLITICA","","HALOCOCCUS SACHAROLITICA","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS HAMELINENSIS, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:6801be24c6b0d2f6292e208cff2107eb] has no principals, using all instances","2020-11-16T18:19:19.92+01:00","GTDB:6801be24c6b0d2f6292e208cff2107eb","HALOCOCCUS HAMELINENSIS","","HALOCOCCUS HAMELINENSIS","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[BC, HALOCOCCUS SP003021045, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:af1d3ae155e02f6b1c477c6c180c9dce] has no principals, using all instances","2020-11-16T18:19:19.913+01:00","GTDB:af1d3ae155e02f6b1c477c6c180c9dce","HALOCOCCUS SP003021045","","HALOCOCCUS SP003021045","BC","species","accepted","","GTDB_ar122_taxonomy_r95",
"NOTE","taxonResolver.noPrincipals","Taxon TC[no code, HALOCOCCUS NONDENITRIFICANS, null, SPECIES = 6cfd67d6-4f9b-400b-8549-1933ac27936f:9011739] has no principals, using all instances","2020-11-16T18:19:19.927+01:00","9011739","HALOCOCCUS NONDENITRIFICANS","","HALOCOCCUS NONDENITRIFICANS","","species","accepted","","6cfd67d6-4f9b-400b-8549-1933ac27936f",
"NOTE","taxonResolver.noPrincipals","Taxon TC[ICZN, THE UNKNOWN TAXON, null, UNRANKED = SBDI:ALA_The_Unknown_Taxon] has no principals, using all instances","2020-11-16T18:19:20.058+01:00","ALA_The_Unknown_Taxon","THE UNKNOWN TAXON","","THE UNKNOWN TAXON","ICZN","unranked","inferredUnplaced","","SBDI",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS SACHAROLITICA = [BC:HALOCOCCUS SACHAROLITICA:unranked] = GTDB_ar122_taxonomy_r95:GTDB:1b91f1097cdcc2209b7bf58c687df257] is UN[BC, HALOCOCCUS SACHAROLITICA = [BC:HALOCOCCUS SACHAROLITICA:species] = GTDB_ar122_taxonomy_r95:GTDB:1b91f1097cdcc2209b7bf58c687df257]","2020-11-16T18:19:20.081+01:00","GTDB:1b91f1097cdcc2209b7bf58c687df257","HALOCOCCUS SACHAROLITICA","","HALOCOCCUS SACHAROLITICA","BC","unranked","accepted","GTDB:1b91f1097cdcc2209b7bf58c687df257","GTDB_ar122_taxonomy_r95",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS SEDIMINICOLA = [BC:HALOCOCCUS SEDIMINICOLA:unranked] = GTDB_ar122_taxonomy_r95:GTDB:b3d99722b65c67582032bc0ba6bd4197] is UN[BC, HALOCOCCUS SEDIMINICOLA = [BC:HALOCOCCUS SEDIMINICOLA:species] = GTDB_ar122_taxonomy_r95:GTDB:b3d99722b65c67582032bc0ba6bd4197]","2020-11-16T18:19:20.081+01:00","GTDB:b3d99722b65c67582032bc0ba6bd4197","HALOCOCCUS SEDIMINICOLA","","HALOCOCCUS SEDIMINICOLA","BC","unranked","accepted","GTDB:b3d99722b65c67582032bc0ba6bd4197","GTDB_ar122_taxonomy_r95",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS HAMELINENSIS = [BC:HALOCOCCUS HAMELINENSIS:unranked] = GTDB_ar122_taxonomy_r95:GTDB:6801be24c6b0d2f6292e208cff2107eb] is UN[BC, HALOCOCCUS HAMELINENSIS = [BC:HALOCOCCUS HAMELINENSIS:species] = GTDB_ar122_taxonomy_r95:GTDB:6801be24c6b0d2f6292e208cff2107eb]","2020-11-16T18:19:20.081+01:00","GTDB:6801be24c6b0d2f6292e208cff2107eb","HALOCOCCUS HAMELINENSIS","","HALOCOCCUS HAMELINENSIS","BC","unranked","accepted","GTDB:6801be24c6b0d2f6292e208cff2107eb","GTDB_ar122_taxonomy_r95",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS HAMELINENSIS = [:HALOCOCCUS HAMELINENSIS:species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983779] reallocated to UN[BC, HALOCOCCUS HAMELINENSIS = [BC:HALOCOCCUS HAMELINENSIS:species] = GTDB_ar122_taxonomy_r95:GTDB:6801be24c6b0d2f6292e208cff2107eb]","2020-11-16T18:19:20.131+01:00","4983779","HALOCOCCUS HAMELINENSIS","","HALOCOCCUS HAMELINENSIS","","unranked","accepted","GTDB:6801be24c6b0d2f6292e208cff2107eb","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS SALIFODINAE = [BC:HALOCOCCUS SALIFODINAE:unranked] = GTDB_ar122_taxonomy_r95:GTDB:93f30bca56a26bd85707cc771ca6dadc] is UN[BC, HALOCOCCUS SALIFODINAE = [BC:HALOCOCCUS SALIFODINAE:species] = GTDB_ar122_taxonomy_r95:GTDB:93f30bca56a26bd85707cc771ca6dadc]","2020-11-16T18:19:20.081+01:00","GTDB:93f30bca56a26bd85707cc771ca6dadc","HALOCOCCUS SALIFODINAE","","HALOCOCCUS SALIFODINAE","BC","unranked","accepted","GTDB:93f30bca56a26bd85707cc771ca6dadc","GTDB_ar122_taxonomy_r95",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS AGARILITICA = [BC:HALOCOCCUS AGARILITICA:unranked] = GTDB_ar122_taxonomy_r95:GTDB:ef9cde04e9cf497c66e3c7d59bb23da7] is UN[BC, HALOCOCCUS AGARILITICA = [BC:HALOCOCCUS AGARILITICA:species] = GTDB_ar122_taxonomy_r95:GTDB:ef9cde04e9cf497c66e3c7d59bb23da7]","2020-11-16T18:19:20.081+01:00","GTDB:ef9cde04e9cf497c66e3c7d59bb23da7","HALOCOCCUS AGARILITICA","","HALOCOCCUS AGARILITICA","BC","unranked","accepted","GTDB:ef9cde04e9cf497c66e3c7d59bb23da7","GTDB_ar122_taxonomy_r95",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS AGARILITICA = [:HALOCOCCUS AGARILITICA:species] = 52a423d2-0486-4e77-bcee-6350d708d6ff:7698467] reallocated to UN[BC, HALOCOCCUS AGARILITICA = [BC:HALOCOCCUS AGARILITICA:species] = GTDB_ar122_taxonomy_r95:GTDB:ef9cde04e9cf497c66e3c7d59bb23da7]","2020-11-16T18:19:20.124+01:00","7698467","HALOCOCCUS AGARILITICA","","HALOCOCCUS AGARILITICA","","unranked","accepted","GTDB:ef9cde04e9cf497c66e3c7d59bb23da7","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS MORUAE = [BC:HALOCOCCUS MORUAE:unranked] = GTDB_ar122_taxonomy_r95:GTDB:b17191f882f8d78f73e574c6432c5b80] is UN[BC, HALOCOCCUS MORUAE = [BC:HALOCOCCUS MORUAE:species] = GTDB_ar122_taxonomy_r95:GTDB:b17191f882f8d78f73e574c6432c5b80]","2020-11-16T18:19:20.081+01:00","GTDB:b17191f882f8d78f73e574c6432c5b80","HALOCOCCUS MORUAE","","HALOCOCCUS MORUAE","BC","unranked","accepted","GTDB:b17191f882f8d78f73e574c6432c5b80","GTDB_ar122_taxonomy_r95",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[ARCHAEA = [BC:ARCHAEA:unranked] = GTDB_ar122_taxonomy_r95:GTDB:cc5e4fc46959a70344a2d8744e1130a3] is UN[BC, ARCHAEA = [BC:ARCHAEA:kingdom] = GTDB_ar122_taxonomy_r95:GTDB:cc5e4fc46959a70344a2d8744e1130a3]","2020-11-16T18:19:20.081+01:00","GTDB:cc5e4fc46959a70344a2d8744e1130a3","ARCHAEA","","ARCHAEA","BC","unranked","accepted","GTDB:cc5e4fc46959a70344a2d8744e1130a3","GTDB_ar122_taxonomy_r95",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOCOCCUS SEDIMINICOLA, species = [:HALOCOCCUS SEDIMINICOLA,""Yim et al., 2014"":species] = 52a423d2-0486-4e77-bcee-6350d708d6ff:7800119] reallocated to SN[BC, HALOCOCCUS SEDIMINICOLA, species = [BC:HALOCOCCUS SEDIMINICOLA:species] = GTDB_ar122_taxonomy_r95:GTDB:b3d99722b65c67582032bc0ba6bd4197]","2020-11-16T18:19:20.173+01:00","7800119","HALOCOCCUS SEDIMINICOLA","","HALOCOCCUS SEDIMINICOLA","","species","accepted","GTDB:b3d99722b65c67582032bc0ba6bd4197","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOCOCCUS SALIFODINAE, species = [:HALOCOCCUS SALIFODINAE,""Denner et al., 1994"":species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983777] reallocated to SN[BC, HALOCOCCUS SALIFODINAE, species = [BC:HALOCOCCUS SALIFODINAE:species] = GTDB_ar122_taxonomy_r95:GTDB:93f30bca56a26bd85707cc771ca6dadc]","2020-11-16T18:19:20.185+01:00","4983777","HALOCOCCUS SALIFODINAE","","HALOCOCCUS SALIFODINAE","","species","accepted","GTDB:93f30bca56a26bd85707cc771ca6dadc","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS SACHAROLITICA = [:HALOCOCCUS SACHAROLITICA:species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983778] reallocated to UN[BC, HALOCOCCUS SACHAROLITICA = [BC:HALOCOCCUS SACHAROLITICA:species] = GTDB_ar122_taxonomy_r95:GTDB:1b91f1097cdcc2209b7bf58c687df257]","2020-11-16T18:19:20.118+01:00","4983778","HALOCOCCUS SACHAROLITICA","","HALOCOCCUS SACHAROLITICA","","unranked","accepted","GTDB:1b91f1097cdcc2209b7bf58c687df257","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS SEDIMINICOLA = [:HALOCOCCUS SEDIMINICOLA:species] = 52a423d2-0486-4e77-bcee-6350d708d6ff:7800119] reallocated to UN[BC, HALOCOCCUS SEDIMINICOLA = [BC:HALOCOCCUS SEDIMINICOLA:species] = GTDB_ar122_taxonomy_r95:GTDB:b3d99722b65c67582032bc0ba6bd4197]","2020-11-16T18:19:20.107+01:00","7800119","HALOCOCCUS SEDIMINICOLA","","HALOCOCCUS SEDIMINICOLA","","unranked","accepted","GTDB:b3d99722b65c67582032bc0ba6bd4197","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS SALIFODINAE = [:HALOCOCCUS SALIFODINAE:species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983777] reallocated to UN[BC, HALOCOCCUS SALIFODINAE = [BC:HALOCOCCUS SALIFODINAE:species] = GTDB_ar122_taxonomy_r95:GTDB:93f30bca56a26bd85707cc771ca6dadc]","2020-11-16T18:19:20.096+01:00","4983777","HALOCOCCUS SALIFODINAE","","HALOCOCCUS SALIFODINAE","","unranked","accepted","GTDB:93f30bca56a26bd85707cc771ca6dadc","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonConcept.reallocated","Taxon concept TC[BC, HALOCOCCUS SEDIMINICOLA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:b3d99722b65c67582032bc0ba6bd4197] reallocated to TC[BC, HALOCOCCUS SEDIMINICOLA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:b3d99722b65c67582032bc0ba6bd4197]","2020-11-16T18:19:20.179+01:00","7800119","HALOCOCCUS SEDIMINICOLA","""Yim et al., 2014""","HALOCOCCUS SEDIMINICOLA ""Yim et al., 2014""","","species","accepted","GTDB:b3d99722b65c67582032bc0ba6bd4197","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOBACTERIALES = [:HALOBACTERIALES:order] = 7ddf754f-d193-4cc9-b351-99906754a03b:565] reallocated to UN[BC, HALOBACTERIALES = [BC:HALOBACTERIALES:order] = GTDB_ar122_taxonomy_r95:GTDB:8626978989306ab5cc719a7a09acc9e7]","2020-11-16T18:19:20.088+01:00","565","HALOBACTERIALES","","HALOBACTERIALES","","unranked","accepted","GTDB:8626978989306ab5cc719a7a09acc9e7","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, ARCHAEA = [:ARCHAEA:kingdom] = d7dddbf4-2cf0-4f39-9b2a-bb099caae36c:2] reallocated to UN[BC, ARCHAEA = [BC:ARCHAEA:kingdom] = GTDB_ar122_taxonomy_r95:GTDB:cc5e4fc46959a70344a2d8744e1130a3]","2020-11-16T18:19:20.112+01:00","2","ARCHAEA","","ARCHAEA","","unranked","accepted","GTDB:cc5e4fc46959a70344a2d8744e1130a3","d7dddbf4-2cf0-4f39-9b2a-bb099caae36c",
"NOTE","scientificName.reallocated","Scientific name SN[no code, ARCHAEA, kingdom = [:ARCHAEA:kingdom] = d7dddbf4-2cf0-4f39-9b2a-bb099caae36c:2] reallocated to SN[BC, ARCHAEA, kingdom = [BC:ARCHAEA:kingdom] = GTDB_ar122_taxonomy_r95:GTDB:cc5e4fc46959a70344a2d8744e1130a3]","2020-11-16T18:19:20.166+01:00","2","ARCHAEA","","ARCHAEA","","kingdom","accepted","GTDB:cc5e4fc46959a70344a2d8744e1130a3","d7dddbf4-2cf0-4f39-9b2a-bb099caae36c",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOCOCCUS SACHAROLITICA, species = [:HALOCOCCUS SACHAROLITICA,""Montero et al., 1990"":species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983778] reallocated to SN[BC, HALOCOCCUS SACHAROLITICA, species = [BC:HALOCOCCUS SACHAROLITICA:species] = GTDB_ar122_taxonomy_r95:GTDB:1b91f1097cdcc2209b7bf58c687df257]","2020-11-16T18:19:20.156+01:00","4983778","HALOCOCCUS SACHAROLITICA","","HALOCOCCUS SACHAROLITICA","","species","accepted","GTDB:1b91f1097cdcc2209b7bf58c687df257","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOCOCCUS AGARILITICA, species = [:HALOCOCCUS AGARILITICA,""Minegishi et al., 2015"":species] = 52a423d2-0486-4e77-bcee-6350d708d6ff:7698467] reallocated to SN[BC, HALOCOCCUS AGARILITICA, species = [BC:HALOCOCCUS AGARILITICA:species] = GTDB_ar122_taxonomy_r95:GTDB:ef9cde04e9cf497c66e3c7d59bb23da7]","2020-11-16T18:19:20.149+01:00","7698467","HALOCOCCUS AGARILITICA","","HALOCOCCUS AGARILITICA","","species","accepted","GTDB:ef9cde04e9cf497c66e3c7d59bb23da7","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOCOCCUS HAMELINENSIS, species = [:HALOCOCCUS HAMELINENSIS,""Goh et al., 2006"":species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983779] reallocated to SN[BC, HALOCOCCUS HAMELINENSIS, species = [BC:HALOCOCCUS HAMELINENSIS:species] = GTDB_ar122_taxonomy_r95:GTDB:6801be24c6b0d2f6292e208cff2107eb]","2020-11-16T18:19:20.143+01:00","4983779","HALOCOCCUS HAMELINENSIS","","HALOCOCCUS HAMELINENSIS","","species","accepted","GTDB:6801be24c6b0d2f6292e208cff2107eb","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonConcept.reallocated","Taxon concept TC[BC, HALOCOCCUS SACHAROLITICA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:1b91f1097cdcc2209b7bf58c687df257] reallocated to TC[BC, HALOCOCCUS SACHAROLITICA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:1b91f1097cdcc2209b7bf58c687df257]","2020-11-16T18:19:20.216+01:00","4983778","HALOCOCCUS SACHAROLITICA","""Montero et al., 1990""","HALOCOCCUS SACHAROLITICA ""Montero et al., 1990""","","species","accepted","GTDB:1b91f1097cdcc2209b7bf58c687df257","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonConcept.reallocated","Taxon concept TC[BC, HALOCOCCUS AGARILITICA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:ef9cde04e9cf497c66e3c7d59bb23da7] reallocated to TC[BC, HALOCOCCUS AGARILITICA, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:ef9cde04e9cf497c66e3c7d59bb23da7]","2020-11-16T18:19:20.224+01:00","7698467","HALOCOCCUS AGARILITICA","""Minegishi et al., 2015""","HALOCOCCUS AGARILITICA ""Minegishi et al., 2015""","","species","accepted","GTDB:ef9cde04e9cf497c66e3c7d59bb23da7","52a423d2-0486-4e77-bcee-6350d708d6ff",
"NOTE","taxonConcept.reallocated","Taxon concept TC[BC, HALOCOCCUS HAMELINENSIS, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:6801be24c6b0d2f6292e208cff2107eb] reallocated to TC[BC, HALOCOCCUS HAMELINENSIS, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:6801be24c6b0d2f6292e208cff2107eb]","2020-11-16T18:19:20.233+01:00","4983779","HALOCOCCUS HAMELINENSIS","""Goh et al., 2006""","HALOCOCCUS HAMELINENSIS ""Goh et al., 2006""","","species","accepted","GTDB:6801be24c6b0d2f6292e208cff2107eb","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS MORUAE = [:HALOCOCCUS MORUAE:species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983780] reallocated to UN[BC, HALOCOCCUS MORUAE = [BC:HALOCOCCUS MORUAE:species] = GTDB_ar122_taxonomy_r95:GTDB:b17191f882f8d78f73e574c6432c5b80]","2020-11-16T18:19:20.137+01:00","4983780","HALOCOCCUS MORUAE","","HALOCOCCUS MORUAE","","unranked","accepted","GTDB:b17191f882f8d78f73e574c6432c5b80","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS = [BC:HALOCOCCUS:unranked] = GTDB_ar122_taxonomy_r95:GTDB:4e52b04254ef3b16c6b0577657129ce3] is UN[BC, HALOCOCCUS = [BC:HALOCOCCUS:genus] = GTDB_ar122_taxonomy_r95:GTDB:4e52b04254ef3b16c6b0577657129ce3]","2020-11-16T18:19:20.204+01:00","GTDB:4e52b04254ef3b16c6b0577657129ce3","HALOCOCCUS","","HALOCOCCUS","BC","unranked","accepted","GTDB:4e52b04254ef3b16c6b0577657129ce3","GTDB_ar122_taxonomy_r95",
"NOTE","taxonConcept.reallocated","Taxon concept TC[BC, ARCHAEA, null, KINGDOM = GTDB_ar122_taxonomy_r95:GTDB:cc5e4fc46959a70344a2d8744e1130a3] reallocated to TC[BC, ARCHAEA, null, KINGDOM = GTDB_ar122_taxonomy_r95:GTDB:cc5e4fc46959a70344a2d8744e1130a3]","2020-11-16T18:19:20.209+01:00","2","ARCHAEA","","ARCHAEA","","kingdom","accepted","GTDB:cc5e4fc46959a70344a2d8744e1130a3","d7dddbf4-2cf0-4f39-9b2a-bb099caae36c",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOCOCCUS MORUAE, species = [:HALOCOCCUS MORUAE,""Kocur & Hodgkiss, 1973 (Farlow, 1880)"":species] = 7ddf754f-d193-4cc9-b351-99906754a03b:4983780] reallocated to SN[BC, HALOCOCCUS MORUAE, species = [BC:HALOCOCCUS MORUAE:species] = GTDB_ar122_taxonomy_r95:GTDB:b17191f882f8d78f73e574c6432c5b80]","2020-11-16T18:19:20.239+01:00","4983780","HALOCOCCUS MORUAE","","HALOCOCCUS MORUAE","","species","accepted","GTDB:b17191f882f8d78f73e574c6432c5b80","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOCOCCUS TAILANDENSIS = [BC:HALOCOCCUS TAILANDENSIS:unranked] = GTDB_ar122_taxonomy_r95:GTDB:6a637e69b3c9357813d0f0ae50b79af2] is UN[BC, HALOCOCCUS TAILANDENSIS = [BC:HALOCOCCUS TAILANDENSIS:species] = GTDB_ar122_taxonomy_r95:GTDB:6a637e69b3c9357813d0f0ae50b79af2]","2020-11-16T18:19:20.244+01:00","GTDB:6a637e69b3c9357813d0f0ae50b79af2","HALOCOCCUS TAILANDENSIS","","HALOCOCCUS TAILANDENSIS","BC","unranked","accepted","GTDB:6a637e69b3c9357813d0f0ae50b79af2","GTDB_ar122_taxonomy_r95",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS TAILANDENSIS = [:HALOCOCCUS TAILANDENSIS:species] = 7ddf754f-d193-4cc9-b351-99906754a03b:7544901] reallocated to UN[BC, HALOCOCCUS TAILANDENSIS = [BC:HALOCOCCUS TAILANDENSIS:species] = GTDB_ar122_taxonomy_r95:GTDB:6a637e69b3c9357813d0f0ae50b79af2]","2020-11-16T18:19:20.303+01:00","7544901","HALOCOCCUS TAILANDENSIS","","HALOCOCCUS TAILANDENSIS","","unranked","accepted","GTDB:6a637e69b3c9357813d0f0ae50b79af2","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","taxonConcept.reallocated","Taxon concept TC[BC, HALOCOCCUS SALIFODINAE, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:93f30bca56a26bd85707cc771ca6dadc] reallocated to TC[BC, HALOCOCCUS SALIFODINAE, null, SPECIES = GTDB_ar122_taxonomy_r95:GTDB:93f30bca56a26bd85707cc771ca6dadc]","2020-11-16T18:19:20.197+01:00","4983777","HALOCOCCUS SALIFODINAE","""Denner et al., 1994""","HALOCOCCUS SALIFODINAE ""Denner et al., 1994""","","species","accepted","GTDB:93f30bca56a26bd85707cc771ca6dadc","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","name.BareName.principal","Principal for bare scientific name BN[HALOBACTERIA = [BC:HALOBACTERIA:unranked] = GTDB_ar122_taxonomy_r95:GTDB:eab02f5b2eabe584134e2604571b6be6] is UN[BC, HALOBACTERIA = [BC:HALOBACTERIA:class] = GTDB_ar122_taxonomy_r95:GTDB:eab02f5b2eabe584134e2604571b6be6]","2020-11-16T18:19:20.25+01:00","GTDB:eab02f5b2eabe584134e2604571b6be6","HALOBACTERIA","","HALOBACTERIA","BC","unranked","accepted","GTDB:eab02f5b2eabe584134e2604571b6be6","GTDB_ar122_taxonomy_r95",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOBACTERIALES, order = [:HALOBACTERIALES:order] = 7ddf754f-d193-4cc9-b351-99906754a03b:565] reallocated to SN[BC, HALOBACTERIALES, order = [BC:HALOBACTERIALES:order] = GTDB_ar122_taxonomy_r95:GTDB:8626978989306ab5cc719a7a09acc9e7]","2020-11-16T18:19:20.191+01:00","565","HALOBACTERIALES","","HALOBACTERIALES","","order","accepted","GTDB:8626978989306ab5cc719a7a09acc9e7","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","scientificName.reallocated","Scientific name SN[no code, HALOCOCCUS, genus = [:HALOCOCCUS,""Schoop, 1935"":genus] = 7ddf754f-d193-4cc9-b351-99906754a03b:1000165] reallocated to SN[BC, HALOCOCCUS, genus = [BC:HALOCOCCUS:genus] = GTDB_ar122_taxonomy_r95:GTDB:4e52b04254ef3b16c6b0577657129ce3]","2020-11-16T18:19:20.292+01:00","1000165","HALOCOCCUS","","HALOCOCCUS","","genus","accepted","GTDB:4e52b04254ef3b16c6b0577657129ce3","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOBACTERIA = [:HALOBACTERIA:class] = 7ddf754f-d193-4cc9-b351-99906754a03b:160] reallocated to UN[BC, HALOBACTERIA = [BC:HALOBACTERIA:class] = GTDB_ar122_taxonomy_r95:GTDB:eab02f5b2eabe584134e2604571b6be6]","2020-11-16T18:19:20.297+01:00","160","HALOBACTERIA","","HALOBACTERIA","","unranked","accepted","GTDB:eab02f5b2eabe584134e2604571b6be6","7ddf754f-d193-4cc9-b351-99906754a03b",
"NOTE","unrankedScientificName.reallocated","Unranked scientific name UN[no code, HALOCOCCUS = [:HALOCOCCUS:genus] = 7ddf754f-d193-4cc9-b351-99906754a03b:1000165] reallocated to UN[BC, HALOCOCCUS = [BC:HALOCOCCUS:genus] = GTDB_ar122_taxonomy_r95:GTDB:4e52b04254ef3b16c6b0577657129ce3]","2020-11-16T18:19:20.269+01:00","1000165","HALOCOCCUS","","HALOCOCCUS","","unranked","accepted","GTDB:4e52b04254ef3b16c6b0577657129ce3","7ddf754f-d193-4cc9-b351-99906754a03b",
